지점	카테고리	조닝	브랜드	매장유형	평수	25년 3월 매출	25년 4월 매출	평매출	25년 5월 매출	평매출	25년 6월 매출	평매출	26년 3월 매출	3월 성장률	26년 4월 매출	4월 성장률
중계점	캐쥬얼(특정매입)	진	리바이스	#N/A	8.2	14,876,600	14,470,500	58900	10,421,000	42417		0		-100.0%		-100.0%
중계점	캐쥬얼(특정매입)	이지	후아유	정상	17.8	65,001,426	46,668,784	87395	60,380,155	113071	32,350,565	60582	51,479,370	-20.8%	46,229,290	-0.9%
중계점	캐쥬얼(특정매입)	이지	폴햄	정상	22.8	87,754,100	80,065,540	117055	111,641,950	163219	79,033,700	115546	78,361,900	-10.7%	84,587,200	5.6%
중계점	캐쥬얼(특정매입)	이지	지오다노	정상	26.1	52,828,648	43,580,575	55658	56,142,780	71702	50,591,680	64613	46,320,500	-12.3%	44,127,500	1.3%
중계점	캐쥬얼(특정매입)	이지	마인드브릿지	정상	20.0	39,387,220	33,394,620	55658	43,306,530	72178	43,897,790	73163	51,024,710	29.5%	51,891,960	55.4%
중계점	캐쥬얼(특정매입)	이지	프로젝트M	정상	13.8	92,625,080	90,242,030	217976	90,465,170	218515	80,906,940	195427	90,258,190	-2.6%	87,206,000	-3.4%
중계점	캐쥬얼(특정매입)	스트릿	JEEP	상설	11.3	61,218,600	56,777,700	167922	54,204,800	160312	35,323,700	104471	42,593,150	-30.4%	44,281,360	-22.0%
중계점	캐쥬얼(특정매입)	스트릿	NBA	상설	10.0	30,326,200	18,472,500	61575	30,301,200	101004	20,694,000	68980	18,281,390	-39.7%	22,953,640	24.3%
중계점	캐쥬얼(특정매입)	스트릿	더블에이트	정상	13.2	60,598,300	54,420,000	137424	77,285,000	195164	56,703,300	143190	46,789,300	-22.8%	54,109,100	-0.6%
중계점	캐쥬얼(특정매입)	진	게스(GUESS)(진)	상설	20.5	104,434,800	80,555,100	130984	84,202,600	136915	77,717,800	126370	83,836,700	-19.7%	85,404,500	6.0%
중계점	캐쥬얼(특정매입)	진	버커루	복합	10.0	29,317,810	26,775,800	89253	39,277,600	130925	24,207,100	80690	28,436,340	-3.0%	30,289,840	13.1%
중계점	캐쥬얼(특정매입)	스트릿	그루브라임플레이	정상	15.6	33,014,400	22,648,200	48394	36,746,300	78518	30,654,200	65500	18,712,900	-43.3%	19,635,400	-13.3%
중계점	캐쥬얼(특정매입)	이지	위라이크	정상	13.8	7,554,200	60,665,800	146536	124,290,020	300217	78,305,900	189145	61,739,110	717.3%	62,526,570	3.1%
중계점	잡화(특정매입)	제화	무크(MOOK)	#N/A	9.0	21,024,515	22,982,720	85449	21,450,240	79751	19,381,400	72059		-100.0%		-100.0%
중계점	잡화(특정매입)	제화	미소페(MISOPE)	정상	11.6	35,850,840	25,910,000	74442	32,305,200	92816	26,556,600	76300	50,563,300	41.0%	31,766,000	22.6%
중계점	잡화(특정매입)	제화	엘칸토(ELCANTO )	정상	11.0	97,091,560	127,272,550	385048	107,262,680	324511	80,931,900	244850	110,338,460	13.6%	116,967,570	-8.1%
중계점	잡화(특정매입)	핸드백/피혁	키플링(KIPLING)	복합	5.2	23,867,400	31,019,600	198844	20,891,200	133918	16,614,600	106504	24,644,400	3.3%	35,641,200	14.9%
중계점	잡화(특정매입)	핸드백/피혁	엘레강스(핸드백)	정상	5.2	17,114,270	18,999,400	121791	20,059,600	128587	15,057,800	96524	16,567,600	-3.2%	15,269,900	-19.6%
중계점	잡화(특정매입)	핸드백/피혁	피에르가르뎅(핸드백)	정상	5.4	26,737,900	23,146,200	142878	26,924,600	166201	19,079,600	117775	22,342,000	-16.4%	19,345,800	-16.4%
중계점	잡화(특정매입)	핸드백/피혁	아메리칸투어리스트	정상	5.1	29,921,550	46,360,420	303009	41,635,550	272128	47,334,770	309378	38,226,800	27.8%	44,431,800	-4.2%
중계점	잡화(특정매입)	제화	소다	#N/A	11.9	24,390,000	18,864,900	53046	23,129,200	65037	23,453,800	65950		-100.0%		-100.0%
중계점	잡화(특정매입)	제화	미셸BY탠디	정상	10.4	42,779,000	50,381,000	161682	42,554,000	136564	45,640,000	146468	52,869,800	23.6%	50,379,400	0.0%
중계점	잡화(특정매입)	제화	제옥스(제화)	#N/A	#N/A			-	13,715,000	-		-		-		-
중계점	잡화(특정매입)	제화	금강아울렛	#N/A	14.9	39,879,780	33,205,300	74073	32,816,220	73205	34,509,510	76983		-100.0%		-100.0%
중계점	영캐쥬얼(특정)2001	베이직	에이비에프지(ABFZ)	#N/A	10.8			0		0		0		-		-
중계점	영캐쥬얼(특정)2001	캐릭터	올리브데올리브(OLIVE DES OL	#N/A	9.8	25,584,120	20,615,680	70315	23,182,800	79071	15,285,560	52135		-100.0%		-100.0%
중계점	영캐쥬얼(특정)2001	베이직	클라비스(CLOVIS)	정상	15.0	50,901,090	49,104,880	109122	50,898,000	113107	41,626,650	92504	62,509,350	22.8%	56,734,260	15.5%
중계점	영캐쥬얼(특정)2001	스트릿	보브(VOV)	상설	19.1	73,849,942	22,802,114	39794	24,537,840	42823	57,615,810	100551	45,436,060	-38.5%	29,209,800	28.1%
중계점	영캐쥬얼(특정)2001	베이직	리스트	정상	10.1	60,024,200	62,000,900	204623	51,536,600	170088	40,139,200	132473	45,759,800	-23.8%	50,017,800	-19.3%
중계점	영캐쥬얼(특정)2001	캐릭터	나이스클랍	상설	12.7	46,011,910	51,542,060	135281	41,128,040	107948	28,086,000	73717	41,729,300	-9.3%	32,613,480	-36.7%
