지점	카테고리	조닝	브랜드	매장유형	평수	25년 1월 매출	25년 2월 매출	25년 3월 매출	25년 4월 매출	평매출	25년 5월 매출	평매출	25년 6월 매출	평매출	25년 7월 매출	25년 8월 매출	25년 9월 매출	25년 10월 매출	25년 11월 매출	25년 12월 매출	26년 1월 매출	26년 2월 매출	26년 3월 매출	3월 성장률	26년 4월 매출	4월 성장률	26년 5월 매출
중계점	캐쥬얼(특정매입)	진	리바이스	데이터 부재	8.2	12,999,100	8,791,000	14,876,600	14,470,500	58,900	10,421,000	42,417		0										-100.00%		-100.00%	
중계점	캐쥬얼(특정매입)	이지	후아유	정상	17.8	37,563,050	31,982,440	65,001,426	46,668,784	87,395	60,380,155	113,071	32,350,565	60,582	30,706,315	23,068,750	40,830,800	89,352,820	55,213,140	37,144,655	29,094,195	37,227,640	51,479,370	-20.80%	46,229,290	-0.94%	53,177,815
중계점	캐쥬얼(특정매입)	이지	폴햄	정상	22.8	50,070,750	37,309,000	87,754,100	80,065,540	117,055	111,641,950	163,219	79,033,700	115,546	61,310,250	40,979,450	58,885,500	111,245,950	114,230,050	70,197,450	50,297,900	57,643,950	78,361,900	-10.70%	84,587,200	5.65%	98,544,050
중계점	캐쥬얼(특정매입)	이지	지오다노	정상	26.1	35,029,380	30,749,030	52,828,648	43,580,575	55,658	56,142,780	71,702	50,591,680	64,613	41,803,760	27,012,740	36,266,375	61,733,175	56,151,000	46,880,600	28,589,100	27,180,500	46,320,500	-12.32%	44,127,500	1.25%	62,635,600
중계점	캐쥬얼(특정매입)	이지	마인드브릿지	정상	20.0	23,107,140	17,125,380	39,387,220	33,394,620	55,658	43,306,530	72,178	43,897,790	73,163	38,512,910	32,482,660	37,518,020	68,415,140	66,414,700	59,847,400	42,655,480	40,109,520	51,024,710	29.55%	51,891,960	55.39%	55,117,350
중계점	캐쥬얼(특정매입)	이지	프로젝트M	정상	13.8	58,146,740	56,013,150	92,625,080	90,242,030	217,976	90,465,170	218,515	80,906,940	195,427	67,177,880	46,942,610	52,035,530	113,861,480	95,819,550	70,693,110	64,051,500	69,862,580	90,258,190	-2.56%	87,206,000	-3.36%	92,513,180
중계점	캐쥬얼(특정매입)	스트릿	JEEP	상설	11.3	44,531,300	52,097,300	61,218,600	56,777,700	167,922	54,204,800	160,312	35,323,700	104,471	26,878,400	18,678,000	29,655,780	43,917,200	36,706,050	33,550,320	23,946,400	26,255,000	42,593,150	-30.42%	44,281,360	-22.01%	39,657,500
중계점	캐쥬얼(특정매입)	스트릿	NBA	상설	10.0	17,478,700	18,095,570	30,326,200	18,472,500	61,575	30,301,200	101,004	20,694,000	68,980	21,440,500	11,027,600	22,110,000	43,277,450	34,648,120	31,692,400	20,000,700	17,578,500	18,281,390	-39.72%	22,953,640	24.26%	27,458,730
중계점	캐쥬얼(특정매입)	스트릿	더블에이트	정상	13.2	39,891,400	42,177,000	60,598,300	54,420,000	137,424	77,285,000	195,164	56,703,300	143,190	63,296,300	41,117,200	35,261,600	65,060,800	51,519,300	38,404,000	40,370,900	39,104,900	46,789,300	-22.79%	54,109,100	-0.57%	74,432,100
중계점	캐쥬얼(특정매입)	진	게스(GUESS)(진)	상설	20.5	65,624,999	63,861,500	104,434,800	80,555,100	130,984	84,202,600	136,915	77,717,800	126,370	64,733,100	51,654,800	66,550,800	101,967,900	110,020,700	75,714,200	59,299,400	52,203,900	83,836,700	-19.72%	85,404,500	6.02%	105,272,800
중계점	캐쥬얼(특정매입)	진	버커루	복합	10.0	30,139,000	20,026,760	29,317,810	26,775,800	89,253	39,277,600	130,925	24,207,100	80,690	22,959,200	13,562,400	19,092,700	43,008,500	41,830,700	35,049,300	23,079,300	21,030,600	28,436,340	-3.01%	30,289,840	13.12%	40,062,600
중계점	캐쥬얼(특정매입)	스트릿	그루브라임플레이	정상	15.6	26,569,800	22,012,700	33,014,400	22,648,200	48,394	36,746,300	78,518	30,654,200	65,500	24,205,700	18,724,300	15,440,500	37,191,990	34,501,640	24,873,240	10,005,100	11,403,900	18,712,900	-43.32%	19,635,400	-13.30%	21,772,400
